,kraj-druh-R-M,id_kraj,rok,mesic,druh,cena,fdbi70,fdbi85,fdbi100,pdb,kraj,byt,datum
79,1006-113-2009-2,1006,2009,2,113,862078.0,22.1,22.5,23.5,2.65,Vysočina,1+1,2009-02-01 00:00:00
80,1007-113-2009-2,1007,2009,2,113,959386.3448,26.9,27.4,28.6,3.23,Karlovarský,1+1,2009-02-01 00:00:00
81,1008-113-2009-2,1008,2009,2,113,927359.4359,25.2,25.6,26.8,3.02,Liberecký,1+1,2009-02-01 00:00:00
82,1010-113-2009-2,1010,2009,2,113,1315960.0,33.5,34.1,35.6,4.01,Plzeňský,1+1,2009-02-01 00:00:00
83,1011-113-2009-2,1011,2009,2,113,1324254.201,30.9,31.4,32.8,3.7,Středočeský,1+1,2009-02-01 00:00:00
84,1013-113-2009-2,1013,2009,2,113,532250.9725,14.7,14.9,15.6,1.76,Ústecký,1+1,2009-02-01 00:00:00
85,2002-113-2009-2,2002,2009,2,113,1333106.702,35.7,36.3,37.9,4.28,Jihomoravský,1+1,2009-02-01 00:00:00
86,2009-113-2009-2,2009,2009,2,113,1138433.437,31.5,32.0,33.5,3.78,Olomoucký,1+1,2009-02-01 00:00:00
87,2012-113-2009-2,2012,2009,2,113,831360.5853,23.5,23.9,25.0,2.82,Moravskoslezský,1+1,2009-02-01 00:00:00
88,2014-113-2009-2,2014,2009,2,113,1033329.443,27.3,27.8,29.1,3.28,Zlínský,1+1,2009-02-01 00:00:00
89,1001-123-2009-2,1001,2009,2,123,3762757.159,82.5,83.9,87.7,9.9,Praha,2+1,2009-02-01 00:00:00
90,1003-123-2009-2,1003,2009,2,123,1459908.275,38.2,38.9,40.7,4.59,Jihočeský,2+1,2009-02-01 00:00:00
91,1004-123-2009-2,1004,2009,2,123,1508004.17,40.6,41.3,43.2,4.87,Pardubický,2+1,2009-02-01 00:00:00
92,1005-123-2009-2,1005,2009,2,123,1644737.751,44.2,45.0,47.0,5.31,Královéhradecký,2+1,2009-02-01 00:00:00
93,1006-123-2009-2,1006,2009,2,123,1275578.881,32.7,33.3,34.8,3.92,Vysočina,2+1,2009-02-01 00:00:00
94,1007-123-2009-2,1007,2009,2,123,1360944.6230000001,38.2,38.9,40.6,4.59,Karlovarský,2+1,2009-02-01 00:00:00
95,1008-123-2009-2,1008,2009,2,123,1363527.476,37.0,37.7,39.4,4.44,Liberecký,2+1,2009-02-01 00:00:00
96,1010-123-2009-2,1010,2009,2,123,1853684.0,47.1,48.0,50.1,5.66,Plzeňský,2+1,2009-02-01 00:00:00
97,1011-123-2009-2,1011,2009,2,123,1792538.1090000002,41.8,42.5,44.5,5.02,Středočeský,2+1,2009-02-01 00:00:00
98,1013-123-2009-2,1013,2009,2,123,772063.5386,21.3,21.6,22.6,2.55,Ústecký,2+1,2009-02-01 00:00:00
99,2002-123-2009-2,2002,2009,2,123,1865280.624,49.9,50.8,53.1,5.99,Jihomoravský,2+1,2009-02-01 00:00:00
100,2009-123-2009-2,2009,2009,2,123,1452694.289,40.2,40.9,42.7,4.82,Olomoucký,2+1,2009-02-01 00:00:00
101,2012-123-2009-2,2012,2009,2,123,1149809.124,32.5,33.1,34.6,3.9,Moravskoslezský,2+1,2009-02-01 00:00:00
102,2014-123-2009-2,2014,2009,2,123,1509083.406,39.9,40.6,42.4,4.79,Zlínský,2+1,2009-02-01 00:00:00
103,1001-126-2009-2,1001,2009,2,126,5037488.012,110.4,112.3,117.4,13.25,Praha,3+1,2009-02-01 00:00:00
104,1003-126-2009-2,1003,2009,2,126,1686044.977,44.2,44.9,47.0,5.3,Jihočeský,3+1,2009-02-01 00:00:00
105,1004-126-2009-2,1004,2009,2,126,1815504.0659999999,48.9,49.7,52.0,5.87,Pardubický,3+1,2009-02-01 00:00:00
106,1005-126-2009-2,1005,2009,2,126,2030081.292,54.6,55.6,58.1,6.55,Královéhradecký,3+1,2009-02-01 00:00:00
107,1006-126-2009-2,1006,2009,2,126,1607412.304,41.2,41.9,43.8,4.94,Vysočina,3+1,2009-02-01 00:00:00
108,1007-126-2009-2,1007,2009,2,126,1873189.9740000002,52.6,53.5,55.9,6.31,Karlovarský,3+1,2009-02-01 00:00:00
109,1008-126-2009-2,1008,2009,2,126,1424884.74,38.7,39.4,41.2,4.64,Liberecký,3+1,2009-02-01 00:00:00
110,1010-126-2009-2,1010,2009,2,126,2382345.0,60.6,61.6,64.4,7.27,Plzeňský,3+1,2009-02-01 00:00:00
111,1011-126-2009-2,1011,2009,2,126,2356096.523,54.9,55.9,58.4,6.59,Středočeský,3+1,2009-02-01 00:00:00
112,1013-126-2009-2,1013,2009,2,126,962700.8015,26.5,27.0,28.2,3.18,Ústecký,3+1,2009-02-01 00:00:00
113,2002-126-2009-2,2002,2009,2,126,2475396.185,66.2,67.4,70.4,7.95,Jihomoravský,3+1,2009-02-01 00:00:00
114,2009-126-2009-2,2009,2009,2,126,1778706.708,49.2,50.1,52.3,5.9,Olomoucký,3+1,2009-02-01 00:00:00
115,2012-126-2009-2,2012,2009,2,126,1416617.6619999998,40.1,40.8,42.6,4.81,Moravskoslezský,3+1,2009-02-01 00:00:00
116,2014-126-2009-2,2014,2009,2,126,1718121.759,45.4,46.2,48.3,5.45,Zlínský,3+1,2009-02-01 00:00:00
117,1001-133-2009-2,1001,2009,2,133,7671042.805,168.1,171.1,178.8,20.19,Praha,4+1,2009-02-01 00:00:00
118,1003-133-2009-2,1003,2009,2,133,1791235.0,46.9,47.7,49.9,5.63,Jihočeský,4+1,2009-02-01 00:00:00
