,kraj-druh-R-M,id_kraj,rok,mesic,druh,cena,fdbi70,fdbi85,fdbi100,pdb,kraj,byt,datum
1138,2014-113-2010-4,2014,2010,4,113,916381.7504,20.9,21.5,22.8,2.6,Zlínský,1+1,2010-04-01 00:00:00
1139,1001-123-2010-4,1001,2010,4,123,3415115.89,62.7,64.5,68.4,7.82,Praha,2+1,2010-04-01 00:00:00
1140,1003-123-2010-4,1003,2010,4,123,1287998.408,30.4,31.2,33.1,3.78,Jihočeský,2+1,2010-04-01 00:00:00
1141,1004-123-2010-4,1004,2010,4,123,1407547.01,33.6,34.6,36.7,4.19,Pardubický,2+1,2010-04-01 00:00:00
1142,1005-123-2010-4,1005,2010,4,123,1447391.991,33.9,34.9,37.0,4.23,Královéhradecký,2+1,2010-04-01 00:00:00
1143,1006-123-2010-4,1006,2010,4,123,1199945.387,26.9,27.6,29.3,3.35,Vysočina,2+1,2010-04-01 00:00:00
1144,1007-123-2010-4,1007,2010,4,123,1278084.356,31.6,32.5,34.4,3.93,Karlovarský,2+1,2010-04-01 00:00:00
1145,1008-123-2010-4,1008,2010,4,123,1077258.3020000001,25.9,26.7,28.3,3.23,Liberecký,2+1,2010-04-01 00:00:00
1146,1010-123-2010-4,1010,2010,4,123,1589129.0,36.9,38.0,40.3,4.6,Plzeňský,2+1,2010-04-01 00:00:00
1147,1011-123-2010-4,1011,2010,4,123,1700761.8630000001,34.1,35.1,37.2,4.25,Středočeský,2+1,2010-04-01 00:00:00
1148,1013-123-2010-4,1013,2010,4,123,725157.7134,18.3,18.8,19.9,2.27,Ústecký,2+1,2010-04-01 00:00:00
1149,2002-123-2010-4,2002,2010,4,123,1880820.3490000002,42.7,43.9,46.6,5.32,Jihomoravský,2+1,2010-04-01 00:00:00
1150,2009-123-2010-4,2009,2010,4,123,1282683.4640000002,32.1,33.0,35.0,4.0,Olomoucký,2+1,2010-04-01 00:00:00
1151,2012-123-2010-4,2012,2010,4,123,967939.0533,24.4,25.1,26.6,3.04,Moravskoslezský,2+1,2010-04-01 00:00:00
1152,2014-123-2010-4,2014,2010,4,123,1381445.6030000001,31.5,32.4,34.3,3.92,Zlínský,2+1,2010-04-01 00:00:00
1153,1001-126-2010-4,1001,2010,4,126,4602656.13,84.5,87.0,92.2,10.54,Praha,3+1,2010-04-01 00:00:00
1154,1003-126-2010-4,1003,2010,4,126,1479093.257,34.9,35.9,38.0,4.35,Jihočeský,3+1,2010-04-01 00:00:00
1155,1004-126-2010-4,1004,2010,4,126,1727031.428,41.3,42.5,45.0,5.14,Pardubický,3+1,2010-04-01 00:00:00
1156,1005-126-2010-4,1005,2010,4,126,1606920.1169999999,37.7,38.7,41.1,4.69,Královéhradecký,3+1,2010-04-01 00:00:00
1157,1006-126-2010-4,1006,2010,4,126,1338398.0520000001,30.0,30.8,32.7,3.73,Vysočina,3+1,2010-04-01 00:00:00
1158,1007-126-2010-4,1007,2010,4,126,1607666.27,39.7,40.9,43.3,4.95,Karlovarský,3+1,2010-04-01 00:00:00
1159,1008-126-2010-4,1008,2010,4,126,1391422.7130000002,33.5,34.5,36.5,4.17,Liberecký,3+1,2010-04-01 00:00:00
1160,1010-126-2010-4,1010,2010,4,126,1630293.414,37.9,39.0,41.3,4.72,Plzeňský,3+1,2010-04-01 00:00:00
1161,1011-126-2010-4,1011,2010,4,126,2093456.1519999998,42.0,43.2,45.8,5.23,Středočeský,3+1,2010-04-01 00:00:00
1162,1013-126-2010-4,1013,2010,4,126,839129.2390000001,21.1,21.8,23.1,2.63,Ústecký,3+1,2010-04-01 00:00:00
1163,2002-126-2010-4,2002,2010,4,126,2192471.7369999997,49.8,51.2,54.3,6.2,Jihomoravský,3+1,2010-04-01 00:00:00
1164,2009-126-2010-4,2009,2010,4,126,1516089.15,37.9,39.0,41.4,4.73,Olomoucký,3+1,2010-04-01 00:00:00
1165,2012-126-2010-4,2012,2010,4,126,1183863.303,29.8,30.7,32.5,3.72,Moravskoslezský,3+1,2010-04-01 00:00:00
1166,2014-126-2010-4,2014,2010,4,126,1683845.812,38.4,39.5,41.9,4.78,Zlínský,3+1,2010-04-01 00:00:00
1167,1001-133-2010-4,1001,2010,4,133,5829960.527000001,107.1,110.2,116.8,13.35,Praha,4+1,2010-04-01 00:00:00
1168,1003-133-2010-4,1003,2010,4,133,2073993.4309999999,48.9,50.3,53.4,6.1,Jihočeský,4+1,2010-04-01 00:00:00
1169,1004-133-2010-4,1004,2010,4,133,2337716.0,55.9,57.5,61.0,6.97,Pardubický,4+1,2010-04-01 00:00:00
1170,1005-133-2010-4,1005,2010,4,133,2296489.469,53.8,55.4,58.7,6.71,Královéhradecký,4+1,2010-04-01 00:00:00
1171,1006-133-2010-4,1006,2010,4,133,,,,,,Vysočina,4+1,2010-04-01 00:00:00
1172,1007-133-2010-4,1007,2010,4,133,2186072.7909999997,54.0,55.6,58.9,6.73,Karlovarský,4+1,2010-04-01 00:00:00
1173,1008-133-2010-4,1008,2010,4,133,1892975.0,45.6,46.9,49.7,5.68,Liberecký,4+1,2010-04-01 00:00:00
1174,1010-133-2010-4,1010,2010,4,133,2715054.0,63.1,64.9,68.8,7.87,Plzeňský,4+1,2010-04-01 00:00:00
1175,1011-133-2010-4,1011,2010,4,133,3362097.2430000002,67.4,69.3,73.5,8.4,Středočeský,4+1,2010-04-01 00:00:00
1176,1013-133-2010-4,1013,2010,4,133,752465.2104,19.0,19.5,20.7,2.36,Ústecký,4+1,2010-04-01 00:00:00
1177,2002-133-2010-4,2002,2010,4,133,3553717.797,80.7,83.0,88.0,10.06,Jihomoravský,4+1,2010-04-01 00:00:00
1178,2009-133-2010-4,2009,2010,4,133,2156717.422,54.0,55.5,58.9,6.73,Olomoucký,4+1,2010-04-01 00:00:00
1179,2012-133-2010-4,2012,2010,4,133,1671389.1069999998,42.1,43.3,46.0,5.25,Moravskoslezský,4+1,2010-04-01 00:00:00
1180,2014-133-2010-4,2014,2010,4,133,2099294.0,47.8,49.2,52.2,5.96,Zlínský,4+1,2010-04-01 00:00:00
1181,0-113-2010-4,0,2010,4,113,1032564.0,22.0,22.6,24.0,2.74,Celá ČR,1+1,2010-04-01 00:00:00
1182,0-123-2010-4,0,2010,4,123,1380967.0,29.4,30.2,32.1,3.66,Celá ČR,2+1,2010-04-01 00:00:00
1183,0-126-2010-4,0,2010,4,126,1627446.0,34.6,35.6,37.8,4.32,Celá ČR,3+1,2010-04-01 00:00:00
1184,0-133-2010-4,0,2010,4,133,2151193.0,45.8,47.1,49.9,5.71,Celá ČR,4+1,2010-04-01 00:00:00
1185,1001-0-2010-4,1001,2010,4,0,3907924.715,71.8,73.8,78.3,8.95,Praha,všechny byty,2010-04-01 00:00:00
1186,1003-0-2010-4,1003,2010,4,0,1438635.119,33.9,34.9,37.0,4.23,Jihočeský,všechny byty,2010-04-01 00:00:00
1187,1004-0-2010-4,1004,2010,4,0,1558283.7759999998,37.2,38.3,40.6,4.64,Pardubický,všechny byty,2010-04-01 00:00:00
1188,1005-0-2010-4,1005,2010,4,0,1476038.876,34.6,35.6,37.7,4.31,Královéhradecký,všechny byty,2010-04-01 00:00:00
1189,1006-0-2010-4,1006,2010,4,0,1246853.726,27.9,28.7,30.4,3.48,Vysočina,všechny byty,2010-04-01 00:00:00
1190,1007-0-2010-4,1007,2010,4,0,1405407.326,34.7,35.7,37.9,4.33,Karlovarský,všechny byty,2010-04-01 00:00:00
1191,1008-0-2010-4,1008,2010,4,0,1233936.902,29.7,30.6,32.4,3.7,Liberecký,všechny byty,2010-04-01 00:00:00
1192,1010-0-2010-4,1010,2010,4,0,1565920.7019999998,36.4,37.4,39.7,4.54,Plzeňský,všechny byty,2010-04-01 00:00:00
1193,1011-0-2010-4,1011,2010,4,0,1892003.9119999998,37.9,39.0,41.4,4.73,Středočeský,všechny byty,2010-04-01 00:00:00
1194,1013-0-2010-4,1013,2010,4,0,741083.7926,18.7,19.2,20.4,2.32,Ústecký,všechny byty,2010-04-01 00:00:00
1195,2002-0-2010-4,2002,2010,4,0,2068117.0019999999,46.9,48.3,51.2,5.85,Jihomoravský,všechny byty,2010-04-01 00:00:00
1196,2009-0-2010-4,2009,2010,4,0,1409492.9530000002,35.3,36.3,38.5,4.39,Olomoucký,všechny byty,2010-04-01 00:00:00
1197,2012-0-2010-4,2012,2010,4,0,1080860.3190000001,27.2,28.0,29.7,3.39,Moravskoslezský,všechny byty,2010-04-01 00:00:00
1198,2014-0-2010-4,2014,2010,4,0,1499364.72,34.2,35.1,37.3,4.26,Zlínský,všechny byty,2010-04-01 00:00:00
1199,0-0-2010-4,0,2010,4,0,1783031.0,37.9,39.0,41.4,4.73,Celá ČR,všechny byty,2010-04-01 00:00:00
1200,1001-113-2010-5,1001,2010,5,113,2409124.417,43.7,45.2,48.1,5.51,Praha,1+1,2010-05-01 00:00:00
1201,1003-113-2010-5,1003,2010,5,113,992983.1656,23.1,23.9,25.4,2.91,Jihočeský,1+1,2010-05-01 00:00:00
1202,1004-113-2010-5,1004,2010,5,113,1009866.536,23.7,24.5,26.1,2.99,Pardubický,1+1,2010-05-01 00:00:00
1203,1005-113-2010-5,1005,2010,5,113,987539.7123,22.8,23.6,25.1,2.88,Královéhradecký,1+1,2010-05-01 00:00:00
1204,1006-113-2010-5,1006,2010,5,113,880055.0,19.3,20.0,21.2,2.43,Vysočina,1+1,2010-05-01 00:00:00
1205,1007-113-2010-5,1007,2010,5,113,837411.3514,20.4,21.0,22.4,2.56,Karlovarský,1+1,2010-05-01 00:00:00
1206,1008-113-2010-5,1008,2010,5,113,792228.8297,18.8,19.5,20.7,2.37,Liberecký,1+1,2010-05-01 00:00:00
1207,1010-113-2010-5,1010,2010,5,113,1134333.0,25.9,26.8,28.5,3.26,Plzeňský,1+1,2010-05-01 00:00:00
1208,1011-113-2010-5,1011,2010,5,113,1252680.185,24.8,25.6,27.3,3.12,Středočeský,1+1,2010-05-01 00:00:00
1209,1013-113-2010-5,1013,2010,5,113,486043.8413,12.1,12.5,13.3,1.52,Ústecký,1+1,2010-05-01 00:00:00
1210,2002-113-2010-5,2002,2010,5,113,1290386.731,28.8,29.7,31.6,3.62,Jihomoravský,1+1,2010-05-01 00:00:00
1211,2009-113-2010-5,2009,2010,5,113,935961.7576,23.1,23.9,25.4,2.91,Olomoucký,1+1,2010-05-01 00:00:00
1212,2012-113-2010-5,2012,2010,5,113,681890.1366,16.9,17.5,18.6,2.13,Moravskoslezský,1+1,2010-05-01 00:00:00
1213,2014-113-2010-5,2014,2010,5,113,934615.8926,21.0,21.7,23.1,2.65,Zlínský,1+1,2010-05-01 00:00:00
1214,1001-123-2010-5,1001,2010,5,123,3364904.5069999998,61.1,63.1,67.2,7.69,Praha,2+1,2010-05-01 00:00:00
1215,1003-123-2010-5,1003,2010,5,123,1291248.872,30.1,31.1,33.1,3.79,Jihočeský,2+1,2010-05-01 00:00:00
1216,1004-123-2010-5,1004,2010,5,123,1341904.337,31.5,32.6,34.7,3.97,Pardubický,2+1,2010-05-01 00:00:00
1217,1005-123-2010-5,1005,2010,5,123,1426245.2659999998,33.0,34.1,36.3,4.15,Královéhradecký,2+1,2010-05-01 00:00:00
1218,1006-123-2010-5,1006,2010,5,123,1171050.784,25.7,26.5,28.3,3.24,Vysočina,2+1,2010-05-01 00:00:00
1219,1007-123-2010-5,1007,2010,5,123,1263344.53,30.7,31.7,33.8,3.87,Karlovarský,2+1,2010-05-01 00:00:00
1220,1008-123-2010-5,1008,2010,5,123,1116860.279,26.5,27.4,29.2,3.34,Liberecký,2+1,2010-05-01 00:00:00
1221,1010-123-2010-5,1010,2010,5,123,1484208.0,33.9,35.0,37.3,4.27,Plzeňský,2+1,2010-05-01 00:00:00
1222,1011-123-2010-5,1011,2010,5,123,1746066.6069999998,34.6,35.7,38.0,4.35,Středočeský,2+1,2010-05-01 00:00:00
1223,1013-123-2010-5,1013,2010,5,123,737020.8489,18.3,18.9,20.1,2.3,Ústecký,2+1,2010-05-01 00:00:00
1224,2002-123-2010-5,2002,2010,5,123,1864503.685,41.6,42.9,45.7,5.23,Jihomoravský,2+1,2010-05-01 00:00:00
1225,2009-123-2010-5,2009,2010,5,123,1213989.561,30.0,30.9,32.9,3.77,Olomoucký,2+1,2010-05-01 00:00:00
1226,2012-123-2010-5,2012,2010,5,123,952229.4906,23.6,24.4,26.0,2.97,Moravskoslezský,2+1,2010-05-01 00:00:00
1227,2014-123-2010-5,2014,2010,5,123,1388769.3530000001,31.3,32.3,34.4,3.94,Zlínský,2+1,2010-05-01 00:00:00
1228,1001-126-2010-5,1001,2010,5,126,4658327.052,84.5,87.3,93.0,10.65,Praha,3+1,2010-05-01 00:00:00
1229,1003-126-2010-5,1003,2010,5,126,1466807.1940000001,34.2,35.3,37.6,4.3,Jihočeský,3+1,2010-05-01 00:00:00
1230,1004-126-2010-5,1004,2010,5,126,1660224.4780000001,39.0,40.3,42.9,4.91,Pardubický,3+1,2010-05-01 00:00:00
1231,1005-126-2010-5,1005,2010,5,126,1621579.756,37.5,38.7,41.2,4.72,Královéhradecký,3+1,2010-05-01 00:00:00
1232,1006-126-2010-5,1006,2010,5,126,1312826.0,28.8,29.8,31.7,3.63,Vysočina,3+1,2010-05-01 00:00:00
1233,1007-126-2010-5,1007,2010,5,126,1566627.981,38.1,39.4,41.9,4.8,Karlovarský,3+1,2010-05-01 00:00:00
1234,1008-126-2010-5,1008,2010,5,126,1334213.328,31.7,32.8,34.9,3.99,Liberecký,3+1,2010-05-01 00:00:00
1235,1010-126-2010-5,1010,2010,5,126,1632988.205,37.3,38.5,41.0,4.7,Plzeňský,3+1,2010-05-01 00:00:00
1236,1011-126-2010-5,1011,2010,5,126,2103487.463,41.7,43.0,45.8,5.25,Středočeský,3+1,2010-05-01 00:00:00
1237,1013-126-2010-5,1013,2010,5,126,854928.0834,21.2,21.9,23.4,2.67,Ústecký,3+1,2010-05-01 00:00:00
1238,2002-126-2010-5,2002,2010,5,126,2108633.942,47.0,48.5,51.7,5.92,Jihomoravský,3+1,2010-05-01 00:00:00
1239,2009-126-2010-5,2009,2010,5,126,1478353.5680000002,36.5,37.7,40.1,4.59,Olomoucký,3+1,2010-05-01 00:00:00
1240,2012-126-2010-5,2012,2010,5,126,1170126.136,29.0,30.0,31.9,3.65,Moravskoslezský,3+1,2010-05-01 00:00:00
1241,2014-126-2010-5,2014,2010,5,126,1725572.0480000002,38.9,40.1,42.7,4.9,Zlínský,3+1,2010-05-01 00:00:00
1242,1001-133-2010-5,1001,2010,5,133,5783360.606000001,105.0,108.4,115.4,13.23,Praha,4+1,2010-05-01 00:00:00
1243,1003-133-2010-5,1003,2010,5,133,2372001.449,55.3,57.1,60.8,6.96,Jihočeský,4+1,2010-05-01 00:00:00
1244,1004-133-2010-5,1004,2010,5,133,2317040.0,54.4,56.2,59.8,6.86,Pardubický,4+1,2010-05-01 00:00:00
1245,1005-133-2010-5,1005,2010,5,133,2256195.704,52.2,53.9,57.4,6.57,Královéhradecký,4+1,2010-05-01 00:00:00
1246,1006-133-2010-5,1006,2010,5,133,,,,,,Vysočina,4+1,2010-05-01 00:00:00
1247,1007-133-2010-5,1007,2010,5,133,2261791.51,55.0,56.8,60.5,6.93,Karlovarský,4+1,2010-05-01 00:00:00
1248,1008-133-2010-5,1008,2010,5,133,1987302.576,47.2,48.8,51.9,5.95,Liberecký,4+1,2010-05-01 00:00:00
1249,1010-133-2010-5,1010,2010,5,133,2493875.0,56.9,58.8,62.6,7.17,Plzeňský,4+1,2010-05-01 00:00:00
1250,1011-133-2010-5,1011,2010,5,133,3552305.828,70.3,72.7,77.4,8.86,Středočeský,4+1,2010-05-01 00:00:00
1251,1013-133-2010-5,1013,2010,5,133,801810.9909999999,19.9,20.6,21.9,2.51,Ústecký,4+1,2010-05-01 00:00:00
1252,2002-133-2010-5,2002,2010,5,133,3519571.097,78.4,81.0,86.3,9.88,Jihomoravský,4+1,2010-05-01 00:00:00
1253,2009-133-2010-5,2009,2010,5,133,2188307.3959999997,54.0,55.8,59.4,6.8,Olomoucký,4+1,2010-05-01 00:00:00
1254,2012-133-2010-5,2012,2010,5,133,1569624.841,38.9,40.2,42.8,4.9,Moravskoslezský,4+1,2010-05-01 00:00:00
1255,2014-133-2010-5,2014,2010,5,133,2233651.399,50.3,52.0,55.3,6.34,Zlínský,4+1,2010-05-01 00:00:00
1256,0-113-2010-5,0,2010,5,113,961841.0,20.2,20.8,22.2,2.54,Celá ČR,1+1,2010-05-01 00:00:00
1257,0-123-2010-5,0,2010,5,123,1312723.0,27.5,28.4,30.3,3.47,Celá ČR,2+1,2010-05-01 00:00:00
1258,0-126-2010-5,0,2010,5,126,1563209.0,32.8,33.9,36.0,4.13,Celá ČR,3+1,2010-05-01 00:00:00
1259,0-133-2010-5,0,2010,5,133,2104078.0,44.1,45.6,48.5,5.56,Celá ČR,4+1,2010-05-01 00:00:00
1260,1001-0-2010-5,1001,2010,5,0,3896350.3619999997,70.7,73.0,77.8,8.91,Praha,všechny byty,2010-05-01 00:00:00
1261,1003-0-2010-5,1003,2010,5,0,1469906.736,34.2,35.4,37.7,4.31,Jihočeský,všechny byty,2010-05-01 00:00:00
1262,1004-0-2010-5,1004,2010,5,0,1507626.755,35.4,36.6,38.9,4.46,Pardubický,všechny byty,2010-05-01 00:00:00
1263,1005-0-2010-5,1005,2010,5,0,1477841.755,34.2,35.3,37.6,4.3,Královéhradecký,všechny byty,2010-05-01 00:00:00
1264,1006-0-2010-5,1006,2010,5,0,1287073.831,28.2,29.2,31.1,3.56,Vysočina,všechny byty,2010-05-01 00:00:00
1265,1007-0-2010-5,1007,2010,5,0,1390889.555,33.8,35.0,37.2,4.26,Karlovarský,všechny byty,2010-05-01 00:00:00
1266,1008-0-2010-5,1008,2010,5,0,1222490.537,29.1,30.0,32.0,3.66,Liberecký,všechny byty,2010-05-01 00:00:00
1267,1010-0-2010-5,1010,2010,5,0,1529133.929,34.9,36.1,38.4,4.4,Plzeňský,všechny byty,2010-05-01 00:00:00
1268,1011-0-2010-5,1011,2010,5,0,1930688.302,38.2,39.5,42.0,4.82,Středočeský,všechny byty,2010-05-01 00:00:00
1269,1013-0-2010-5,1013,2010,5,0,754000.2699,18.7,19.4,20.6,2.36,Ústecký,všechny byty,2010-05-01 00:00:00
1270,2002-0-2010-5,2002,2010,5,0,2016158.229,44.9,46.4,49.4,5.66,Jihomoravský,všechny byty,2010-05-01 00:00:00
1271,2009-0-2010-5,2009,2010,5,0,1367491.8090000001,33.7,34.9,37.1,4.25,Olomoucký,všechny byty,2010-05-01 00:00:00
1272,2012-0-2010-5,2012,2010,5,0,1061799.258,26.3,27.2,28.9,3.31,Moravskoslezský,všechny byty,2010-05-01 00:00:00
1273,2014-0-2010-5,2014,2010,5,0,1531702.378,34.5,35.6,37.9,4.34,Zlínský,všechny byty,2010-05-01 00:00:00
1274,0-0-2010-5,0,2010,5,0,1682136.0,35.3,36.4,38.8,4.44,Celá ČR,všechny byty,2010-05-01 00:00:00
1275,1001-113-2010-6,1001,2010,6,113,2362731.231,42.4,42.9,46.6,5.39,Praha,1+1,2010-06-01 00:00:00
1276,1003-113-2010-6,1003,2010,6,113,977070.2362,22.5,22.8,24.7,2.86,Jihočeský,1+1,2010-06-01 00:00:00
1277,1004-113-2010-6,1004,2010,6,113,999795.9286,23.1,23.3,25.4,2.93,Pardubický,1+1,2010-06-01 00:00:00
1278,1005-113-2010-6,1005,2010,6,113,1047500.9920000001,23.9,24.2,26.3,3.04,Královéhradecký,1+1,2010-06-01 00:00:00
1279,1006-113-2010-6,1006,2010,6,113,872345.0,18.8,19.0,20.6,2.39,Vysočina,1+1,2010-06-01 00:00:00
1280,1007-113-2010-6,1007,2010,6,113,818234.7171,19.6,19.8,21.5,2.49,Karlovarský,1+1,2010-06-01 00:00:00
1281,1008-113-2010-6,1008,2010,6,113,817809.3809999999,19.2,19.4,21.1,2.44,Liberecký,1+1,2010-06-01 00:00:00
1282,1010-113-2010-6,1010,2010,6,113,1152500.0,25.8,26.2,28.4,3.29,Plzeňský,1+1,2010-06-01 00:00:00
1283,1011-113-2010-6,1011,2010,6,113,1202864.437,23.5,23.8,25.9,2.99,Středočeský,1+1,2010-06-01 00:00:00
1284,1013-113-2010-6,1013,2010,6,113,491436.4042,12.0,12.2,13.2,1.53,Ústecký,1+1,2010-06-01 00:00:00
1285,2002-113-2010-6,2002,2010,6,113,1276264.115,27.9,28.3,30.7,3.55,Jihomoravský,1+1,2010-06-01 00:00:00
1286,2009-113-2010-6,2009,2010,6,113,911068.5279999999,22.2,22.4,24.4,2.82,Olomoucký,1+1,2010-06-01 00:00:00
1287,2012-113-2010-6,2012,2010,6,113,691854.2932,16.9,17.1,18.5,2.14,Moravskoslezský,1+1,2010-06-01 00:00:00
1288,2014-113-2010-6,2014,2010,6,113,933695.1848,20.8,21.0,22.8,2.64,Zlínský,1+1,2010-06-01 00:00:00
1289,1001-123-2010-6,1001,2010,6,123,3265476.1139999996,58.5,59.3,64.4,7.46,Praha,2+1,2010-06-01 00:00:00
1290,1003-123-2010-6,1003,2010,6,123,1259720.3329999999,29.0,29.3,31.9,3.69,Jihočeský,2+1,2010-06-01 00:00:00
1291,1004-123-2010-6,1004,2010,6,123,1338756.788,30.9,31.3,34.0,3.93,Pardubický,2+1,2010-06-01 00:00:00
1292,1005-123-2010-6,1005,2010,6,123,1388543.436,31.7,32.1,34.8,4.03,Královéhradecký,2+1,2010-06-01 00:00:00
1293,1006-123-2010-6,1006,2010,6,123,1173201.881,25.2,25.6,27.7,3.21,Vysočina,2+1,2010-06-01 00:00:00
1294,1007-123-2010-6,1007,2010,6,123,1251169.607,30.0,30.3,32.9,3.81,Karlovarský,2+1,2010-06-01 00:00:00
1295,1008-123-2010-6,1008,2010,6,123,1143623.9209999999,26.8,27.2,29.5,3.41,Liberecký,2+1,2010-06-01 00:00:00
1296,1010-123-2010-6,1010,2010,6,123,1477807.0,33.1,33.5,36.4,4.22,Plzeňský,2+1,2010-06-01 00:00:00
1297,1011-123-2010-6,1011,2010,6,123,1740224.966,34.0,34.4,37.4,4.33,Středočeský,2+1,2010-06-01 00:00:00
1298,1013-123-2010-6,1013,2010,6,123,726406.4224,17.8,18.0,19.6,2.26,Ústecký,2+1,2010-06-01 00:00:00
1299,2002-123-2010-6,2002,2010,6,123,1853263.6369999999,40.5,41.0,44.6,5.16,Jihomoravský,2+1,2010-06-01 00:00:00
1300,2009-123-2010-6,2009,2010,6,123,1229171.0690000001,29.9,30.3,32.9,3.81,Olomoucký,2+1,2010-06-01 00:00:00
1301,2012-123-2010-6,2012,2010,6,123,944179.8996,23.0,23.3,25.3,2.93,Moravskoslezský,2+1,2010-06-01 00:00:00
1302,2014-123-2010-6,2014,2010,6,123,1370733.763,30.5,30.9,33.5,3.88,Zlínský,2+1,2010-06-01 00:00:00
1303,1001-126-2010-6,1001,2010,6,126,4637735.794,83.1,84.2,91.4,10.59,Praha,3+1,2010-06-01 00:00:00
1304,1003-126-2010-6,1003,2010,6,126,1429518.219,32.9,33.3,36.2,4.19,Jihočeský,3+1,2010-06-01 00:00:00
1305,1004-126-2010-6,1004,2010,6,126,1677572.1409999998,38.7,39.2,42.6,4.93,Pardubický,3+1,2010-06-01 00:00:00
1306,1005-126-2010-6,1005,2010,6,126,1565298.243,35.7,36.2,39.3,4.55,Královéhradecký,3+1,2010-06-01 00:00:00
1307,1006-126-2010-6,1006,2010,6,126,1287253.09,27.7,28.0,30.4,3.52,Vysočina,3+1,2010-06-01 00:00:00
1308,1007-126-2010-6,1007,2010,6,126,1527956.62,36.6,37.0,40.2,4.66,Karlovarský,3+1,2010-06-01 00:00:00
1309,1008-126-2010-6,1008,2010,6,126,1369946.81,32.1,32.5,35.3,4.09,Liberecký,3+1,2010-06-01 00:00:00
1310,1010-126-2010-6,1010,2010,6,126,1609902.0680000002,36.1,36.5,39.7,4.59,Plzeňský,3+1,2010-06-01 00:00:00
1311,1011-126-2010-6,1011,2010,6,126,2114236.887,41.3,41.9,45.5,5.26,Středočeský,3+1,2010-06-01 00:00:00
1312,1013-126-2010-6,1013,2010,6,126,851216.2235,20.8,21.1,22.9,2.65,Ústecký,3+1,2010-06-01 00:00:00
1313,2002-126-2010-6,2002,2010,6,126,2024796.146,44.3,44.8,48.7,5.64,Jihomoravský,3+1,2010-06-01 00:00:00
1314,2009-126-2010-6,2009,2010,6,126,1465676.093,35.7,36.1,39.2,4.54,Olomoucký,3+1,2010-06-01 00:00:00
1315,2012-126-2010-6,2012,2010,6,126,1159983.357,28.3,28.6,31.1,3.6,Moravskoslezský,3+1,2010-06-01 00:00:00
1316,2014-126-2010-6,2014,2010,6,126,1709722.101,38.1,38.5,41.8,4.85,Zlínský,3+1,2010-06-01 00:00:00
1317,1001-133-2010-6,1001,2010,6,133,6159061.853999999,110.4,111.8,121.4,14.07,Praha,4+1,2010-06-01 00:00:00
1318,1003-133-2010-6,1003,2010,6,133,2367615.0530000003,54.5,55.2,59.9,6.94,Jihočeský,4+1,2010-06-01 00:00:00
1319,1004-133-2010-6,1004,2010,6,133,2307476.0,53.2,53.9,58.5,6.78,Pardubický,4+1,2010-06-01 00:00:00
1320,1005-133-2010-6,1005,2010,6,133,2296391.095,52.4,53.1,57.6,6.68,Královéhradecký,4+1,2010-06-01 00:00:00
1321,1006-133-2010-6,1006,2010,6,133,,,,,,Vysočina,4+1,2010-06-01 00:00:00
1322,1007-133-2010-6,1007,2010,6,133,2295807.47,55.0,55.7,60.5,7.0,Karlovarský,4+1,2010-06-01 00:00:00
1323,1008-133-2010-6,1008,2010,6,133,1895058.0769999998,44.5,45.0,48.9,5.66,Liberecký,4+1,2010-06-01 00:00:00
1324,1010-133-2010-6,1010,2010,6,133,2576417.0,57.7,58.5,63.5,7.36,Plzeňský,4+1,2010-06-01 00:00:00
1325,1011-133-2010-6,1011,2010,6,133,3580328.828,70.0,70.9,77.0,8.92,Středočeský,4+1,2010-06-01 00:00:00
1326,1013-133-2010-6,1013,2010,6,133,778906.9607,19.1,19.3,21.0,2.43,Ústecký,4+1,2010-06-01 00:00:00
1327,2002-133-2010-6,2002,2010,6,133,3497020.637,76.5,77.5,84.1,9.75,Jihomoravský,4+1,2010-06-01 00:00:00
1328,2009-133-2010-6,2009,2010,6,133,2227243.377,54.2,54.9,59.6,6.9,Olomoucký,4+1,2010-06-01 00:00:00
1329,2012-133-2010-6,2012,2010,6,133,1540475.543,37.6,38.0,41.3,4.78,Moravskoslezský,4+1,2010-06-01 00:00:00
1330,2014-133-2010-6,2014,2010,6,133,2401597.0,53.4,54.1,58.8,6.81,Zlínský,4+1,2010-06-01 00:00:00
1331,0-113-2010-6,0,2010,6,113,965632.0,19.9,20.2,21.9,2.54,Celá ČR,1+1,2010-06-01 00:00:00
1332,0-123-2010-6,0,2010,6,123,1309968.0,27.1,27.4,29.7,3.44,Celá ČR,2+1,2010-06-01 00:00:00
1333,0-126-2010-6,0,2010,6,126,1564208.0,32.3,32.7,35.5,4.11,Celá ČR,3+1,2010-06-01 00:00:00
1334,0-133-2010-6,0,2010,6,133,2131136.0,44.0,44.6,48.4,5.61,Celá ČR,4+1,2010-06-01 00:00:00
1335,1001-0-2010-6,1001,2010,6,0,3871148.459,69.4,70.3,76.3,8.84,Praha,všechny byty,2010-06-01 00:00:00
1336,1003-0-2010-6,1003,2010,6,0,1440324.8630000001,33.1,33.6,36.4,4.22,Jihočeský,všechny byty,2010-06-01 00:00:00
1337,1004-0-2010-6,1004,2010,6,0,1512099.6509999998,34.9,35.3,38.4,4.44,Pardubický,všechny byty,2010-06-01 00:00:00
1338,1005-0-2010-6,1005,2010,6,0,1456369.136,33.2,33.7,36.6,4.23,Královéhradecký,všechny byty,2010-06-01 00:00:00
