kraj-druh-R-M,id_kraj,rok,mesic,druh,cena,fdbi70,fdbi85,fdbi100,pdb
2002-126-2011-4,2002,2011,4,126,2128997,42.5,43.1,47.9,5.69
2009-126-2011-4,2009,2011,4,126,1332106,30.1,30.6,34.0,4.04
2012-126-2011-4,2012,2011,4,126,1115521,25.2,25.6,28.5,3.38
2014-126-2011-4,2014,2011,4,126,1596846,33.7,34.2,38.0,4.52
1001-133-2011-4,1001,2011,4,133,6530114,110.8,112.5,125.0,14.88
1003-133-2011-4,1003,2011,4,133,1462546,31.6,32.0,35.6,4.23
1004-133-2011-4,1004,2011,4,133,1921238,40.8,41.4,46.0,5.47
1005-133-2011-4,1005,2011,4,133,2266215,47.7,48.4,53.8,6.40
1006-133-2011-4,1006,2011,4,133,1746041,33.9,34.4,38.2,4.55
1007-133-2011-4,1007,2011,4,133,2234772,48.3,49.0,54.4,6.48
1008-133-2011-4,1008,2011,4,133,1817483,40.0,40.6,45.1,5.37
1010-133-2011-4,1010,2011,4,133,1885738,38.5,39.1,43.4,5.17
1011-133-2011-4,1011,2011,4,133,2617764,47.8,48.5,53.9,6.41
1013-133-2011-4,1013,2011,4,133,789382,18.2,18.4,20.5,2.43
2002-133-2011-4,2002,2011,4,133,3084214,61.5,62.4,69.3,8.25
2009-133-2011-4,2009,2011,4,133,2162262,48.9,49.6,55.1,6.56
2012-133-2011-4,2012,2011,4,133,1585759,35.9,36.4,40.4,4.81
2014-133-2011-4,2014,2011,4,133,2110635,44.5,45.2,50.2,5.97
0-113-2011-4,0,2011,4,113,930211,17.8,18.0,20.0,2.38
0-123-2011-4,0,2011,4,123,1288419,24.6,25.0,27.8,3.30
0-126-2011-4,0,2011,4,126,1593238,30.5,30.9,34.3,4.08
0-133-2011-4,0,2011,4,133,1856305,35.5,36.0,40.0,4.76
1001-0-2011-4,1001,2011,4,0,3750875,63.7,64.6,71.8,8.54
1003-0-2011-4,1003,2011,4,0,1239230,26.8,27.1,30.2,3.59
1004-0-2011-4,1004,2011,4,0,1476243,31.3,31.8,35.3,4.20
1005-0-2011-4,1005,2011,4,0,1606534,33.8,34.3,38.2,4.54
1006-0-2011-4,1006,2011,4,0,1231231,23.9,24.3,27.0,3.21
1007-0-2011-4,1007,2011,4,0,1481910,32.0,32.5,36.1,4.29
1008-0-2011-4,1008,2011,4,0,1260960,27.8,28.2,31.3,3.72
1010-0-2011-4,1010,2011,4,0,1447417,29.6,30.0,33.4,3.97
1011-0-2011-4,1011,2011,4,0,1844123,33.7,34.2,38.0,4.52
1013-0-2011-4,1013,2011,4,0,677410,15.6,15.8,17.6,2.09
2002-0-2011-4,2002,2011,4,0,1967360,39.2,39.8,44.2,5.26
2009-0-2011-4,2009,2011,4,0,1250155,28.3,28.7,31.9,3.79
2012-0-2011-4,2012,2011,4,0,1023039,23.1,23.5,26.1,3.10
2014-0-2011-4,2014,2011,4,0,1423397,30.0,30.5,33.9,4.03
0-0-2011-4,0,2011,4,0,1725953,33.0,33.5,37.2,4.42
1001-113-2011-5,1001,2011,5,113,2159609,36.5,37.1,41.1,4.93
1003-113-2011-5,1003,2011,5,113,906598,19.5,19.8,21.9,2.62
1004-113-2011-5,1004,2011,5,113,878919,18.7,18.9,21.0,2.51
1005-113-2011-5,1005,2011,5,113,956807,20.0,20.3,22.4,2.69
1006-113-2011-5,1006,2011,5,113,739087,14.3,14.6,16.1,1.93
1007-113-2011-5,1007,2011,5,113,784440,16.8,17.0,18.8,2.26
1008-113-2011-5,1008,2011,5,113,769342,16.9,17.1,19.0,2.27
1010-113-2011-5,1010,2011,5,113,952307,19.4,19.7,21.8,2.62
1011-113-2011-5,1011,2011,5,113,1223542,22.2,22.5,25.0,2.99
1013-113-2011-5,1013,2011,5,113,421606,9.7,9.8,10.9,1.30
2002-113-2011-5,2002,2011,5,113,1132973,22.5,22.9,25.4,3.04
2009-113-2011-5,2009,2011,5,113,877703,19.7,20.1,22.2,2.66
2012-113-2011-5,2012,2011,5,113,639112,14.5,14.7,16.3,1.95
2014-113-2011-5,2014,2011,5,113,858031,18.0,18.3,20.3,2.43
1001-123-2011-5,1001,2011,5,123,3282016,55.5,56.4,62.4,7.49
1003-123-2011-5,1003,2011,5,123,1172736,25.2,25.6,28.3,3.39
1004-123-2011-5,1004,2011,5,123,1365504,29.0,29.4,32.6,3.91
1005-123-2011-5,1005,2011,5,123,1445233,30.2,30.6,33.9,4.07
1006-123-2011-5,1006,2011,5,123,1015677,19.7,20.0,22.1,2.65
1007-123-2011-5,1007,2011,5,123,1307500,27.9,28.4,31.4,3.77
1008-123-2011-5,1008,2011,5,123,1138825,25.0,25.4,28.1,3.37
1010-123-2011-5,1010,2011,5,123,1439372,29.4,29.8,33.0,3.96
1011-123-2011-5,1011,2011,5,123,1661514,30.1,30.6,33.9,4.06
1013-123-2011-5,1013,2011,5,123,620756,14.3,14.5,16.0,1.92
2002-123-2011-5,2002,2011,5,123,1753228,34.9,35.4,39.2,4.71
2009-123-2011-5,2009,2011,5,123,1209091,27.2,27.6,30.6,3.67
2012-123-2011-5,2012,2011,5,123,925467,20.9,21.3,23.5,2.82
2014-123-2011-5,2014,2011,5,123,1246097,26.2,26.6,29.4,3.53
1001-126-2011-5,1001,2011,5,126,4507047,76.2,77.4,85.7,10.29
1003-126-2011-5,1003,2011,5,126,1288493,27.6,28.1,31.1,3.73
1004-126-2011-5,1004,2011,5,126,1678222,35.6,36.2,40.0,4.80
1005-126-2011-5,1005,2011,5,126,1603809,33.5,34.0,37.6,4.51
1006-126-2011-5,1006,2011,5,126,1360606,26.4,26.8,29.7,3.56
1007-126-2011-5,1007,2011,5,126,1726930,36.9,37.5,41.5,4.98
1008-126-2011-5,1008,2011,5,126,1340723,29.4,29.9,33.1,3.96
1010-126-2011-5,1010,2011,5,126,1620794,33.1,33.6,37.2,4.46
1011-126-2011-5,1011,2011,5,126,2275743,41.3,41.9,46.4,5.57
1013-126-2011-5,1013,2011,5,126,770054,17.7,18.0,19.9,2.38
2002-126-2011-5,2002,2011,5,126,2126356,42.3,43.0,47.6,5.71
2009-126-2011-5,2009,2011,5,126,1376629,31.0,31.5,34.8,4.18
2012-126-2011-5,2012,2011,5,126,1106294,25.0,25.4,28.1,3.37
2014-126-2011-5,2014,2011,5,126,1587708,33.4,33.9,37.5,4.50
1001-133-2011-5,1001,2011,5,133,6444071,109.0,110.7,122.6,14.71
1003-133-2011-5,1003,2011,5,133,1438779,30.9,31.4,34.7,4.16
1004-133-2011-5,1004,2011,5,133,1874936,39.8,40.4,44.7,5.37
1005-133-2011-5,1005,2011,5,133,2228864,46.5,47.2,52.3,6.27
1006-133-2011-5,1006,2011,5,133,1722995,33.4,33.9,37.6,4.51
1007-133-2011-5,1007,2011,5,133,2215256,47.3,48.1,53.2,6.39
1008-133-2011-5,1008,2011,5,133,1686636,37.0,37.6,41.6,4.99
1010-133-2011-5,1010,2011,5,133,1972671,40.2,40.9,45.2,5.43
1011-133-2011-5,1011,2011,5,133,2933051,53.2,54.0,59.8,7.18
1013-133-2011-5,1013,2011,5,133,791637,18.2,18.5,20.4,2.45
2002-133-2011-5,2002,2011,5,133,2947090,58.7,59.6,66.0,7.91
2009-133-2011-5,2009,2011,5,133,2216930,49.9,50.7,56.1,6.73
2012-133-2011-5,2012,2011,5,133,1549430,35.1,35.6,39.4,4.73
2014-133-2011-5,2014,2011,5,133,1991887,41.9,42.5,47.1,5.65
0-113-2011-5,0,2011,5,113,929604,17.7,18.0,19.9,2.38
0-123-2011-5,0,2011,5,123,1292930,24.6,25.0,27.7,3.32
0-126-2011-5,0,2011,5,126,1572727,29.9,30.4,33.7,4.04
0-133-2011-5,0,2011,5,133,1885371,35.9,36.4,40.3,4.84
1001-0-2011-5,1001,2011,5,0,3838066,64.9,65.9,73.0,8.76
1003-0-2011-5,1003,2011,5,0,1227752,26.3,26.8,29.6,3.55
1004-0-2011-5,1004,2011,5,0,1465171,31.1,31.6,35.0,4.19
1005-0-2011-5,1005,2011,5,0,1476008,30.8,31.3,34.6,4.15
1006-0-2011-5,1006,2011,5,0,1184388,23.0,23.3,25.8,3.10
1007-0-2011-5,1007,2011,5,0,1446372,30.9,31.4,34.8,4.17
1008-0-2011-5,1008,2011,5,0,1214930,26.6,27.1,30.0,3.59
1010-0-2011-5,1010,2011,5,0,1441077,29.4,29.8,33.0,3.96
1011-0-2011-5,1011,2011,5,0,1954359,35.5,36.0,39.9,4.78
1013-0-2011-5,1013,2011,5,0,672731,15.5,15.7,17.4,2.08
2002-0-2011-5,2002,2011,5,0,1920769,38.2,38.8,43.0,5.16
2009-0-2011-5,2009,2011,5,0,1309589,29.5,29.9,33.1,3.97
2012-0-2011-5,2012,2011,5,0,1013464,22.9,23.3,25.8,3.09
2014-0-2011-5,2014,2011,5,0,1390922,29.2,29.7,32.9,3.94
0-0-2011-5,0,2011,5,0,1766715,33.6,34.1,37.8,4.53
1001-113-2011-6,1001,2011,6,113,2122288,35.8,36.4,40.3,4.85
1003-113-2011-6,1003,2011,6,113,920483,19.7,20.0,22.1,2.66
1004-113-2011-6,1004,2011,6,113,870304,18.5,18.8,20.8,2.50
1005-113-2011-6,1005,2011,6,113,971906,20.1,20.4,22.6,2.72
1006-113-2011-6,1006,2011,6,113,731586,14.2,14.4,15.9,1.92
1007-113-2011-6,1007,2011,6,113,782989,16.6,16.8,18.6,2.24
1008-113-2011-6,1008,2011,6,113,808991,17.7,18.0,19.9,2.39
1010-113-2011-6,1010,2011,6,113,913392,18.6,18.9,20.9,2.52
1011-113-2011-6,1011,2011,6,113,1213201,21.9,22.2,24.6,2.96
1013-113-2011-6,1013,2011,6,113,409591,9.4,9.6,10.6,1.27
2002-113-2011-6,2002,2011,6,113,1133088,22.5,22.9,25.3,3.05
2009-113-2011-6,2009,2011,6,113,860735,19.3,19.6,21.7,2.61
2012-113-2011-6,2012,2011,6,113,635929,14.4,14.6,16.2,1.95
2014-113-2011-6,2014,2011,6,113,846169,17.7,18.0,19.9,2.40
1001-123-2011-6,1001,2011,6,123,3192355,53.9,54.7,60.6,7.30
1003-123-2011-6,1003,2011,6,123,1139006,24.3,24.7,27.3,3.29
1004-123-2011-6,1004,2011,6,123,1358304,28.9,29.3,32.4,3.91
1005-123-2011-6,1005,2011,6,123,1482256,30.7,31.2,34.5,4.15
1006-123-2011-6,1006,2011,6,123,1072824,20.8,21.1,23.4,2.81
1007-123-2011-6,1007,2011,6,123,1296859,27.4,27.9,30.8,3.72
1008-123-2011-6,1008,2011,6,123,1136035,24.8,25.2,27.9,3.36
1010-123-2011-6,1010,2011,6,123,1408545,28.7,29.2,32.3,3.89
1011-123-2011-6,1011,2011,6,123,1629522,29.4,29.9,33.0,3.98
1013-123-2011-6,1013,2011,6,123,611392,14.1,14.3,15.8,1.90
2002-123-2011-6,2002,2011,6,123,1703443,33.9,34.4,38.1,4.59
2009-123-2011-6,2009,2011,6,123,1219163,27.3,27.8,30.7,3.70
2012-123-2011-6,2012,2011,6,123,905249,20.5,20.8,23.1,2.78
2014-123-2011-6,2014,2011,6,123,1279510,26.8,27.2,30.2,3.63
1001-126-2011-6,1001,2011,6,126,4350271,73.4,74.6,82.6,9.95
1003-126-2011-6,1003,2011,6,126,1232020,26.3,26.7,29.6,3.56
1004-126-2011-6,1004,2011,6,126,1597676,33.9,34.5,38.2,4.60
1005-126-2011-6,1005,2011,6,126,1618670,33.5,34.0,37.7,4.54
1006-126-2011-6,1006,2011,6,126,1318716,25.6,26.0,28.7,3.46
1007-126-2011-6,1007,2011,6,126,1667435,35.3,35.8,39.7,4.78
1008-126-2011-6,1008,2011,6,126,1350659,29.5,30.0,33.2,4.00
1010-126-2011-6,1010,2011,6,126,1588927,32.4,32.9,36.4,4.38
1011-126-2011-6,1011,2011,6,126,2203248,39.7,40.4,44.7,5.38
1013-126-2011-6,1013,2011,6,126,767903,17.6,17.9,19.8,2.39
2002-126-2011-6,2002,2011,6,126,2052584,40.8,41.5,45.9,5.53
2009-126-2011-6,2009,2011,6,126,1352429,30.3,30.8,34.1,4.10
2012-126-2011-6,2012,2011,6,126,1114242,25.3,25.7,28.4,3.42
2014-126-2011-6,2014,2011,6,126,1630582,34.2,34.7,38.4,4.63
1001-133-2011-6,1001,2011,6,133,6382008,107.7,109.4,121.1,14.60
1003-133-2011-6,1003,2011,6,133,1471013,31.4,31.9,35.3,4.25
1004-133-2011-6,1004,2011,6,133,1768421,37.6,38.2,42.2,5.09
1005-133-2011-6,1005,2011,6,133,2358350,48.8,49.6,54.9,6.61
1006-133-2011-6,1006,2011,6,133,1650474,32.0,32.5,36.0,4.33
1007-133-2011-6,1007,2011,6,133,2291535,48.5,49.2,54.5,6.57
1008-133-2011-6,1008,2011,6,133,1694758,37.1,37.6,41.7,5.02
1010-133-2011-6,1010,2011,6,133,2094094,42.7,43.3,48.0,5.78
1011-133-2011-6,1011,2011,6,133,2917833,52.6,53.5,59.2,7.13
1013-133-2011-6,1013,2011,6,133,776101,17.8,18.1,20.1,2.41
2002-133-2011-6,2002,2011,6,133,2977742,59.2,60.2,66.6,8.02
2009-133-2011-6,2009,2011,6,133,2181976,48.9,49.7,55.0,6.63
2012-133-2011-6,2012,2011,6,133,1595283,36.2,36.7,40.7,4.90
2014-133-2011-6,2014,2011,6,133,1988394,41.7,42.3,46.9,5.65
0-113-2011-6,0,2011,6,113,956728,18.2,18.4,20.4,2.46
0-123-2011-6,0,2011,6,123,1294074,24.6,24.9,27.6,3.32
0-126-2011-6,0,2011,6,126,1559934,29.6,30.1,33.3,4.01
0-133-2011-6,0,2011,6,133,1903231,36.1,36.7,40.6,4.89
1001-0-2011-6,1001,2011,6,0,3700623,62.5,63.4,70.2,8.46
1003-0-2011-6,1003,2011,6,0,1197208,25.6,26.0,28.7,3.46
1004-0-2011-6,1004,2011,6,0,1417215,30.1,30.6,33.9,4.08
1005-0-2011-6,1005,2011,6,0,1522032,31.5,32.0,35.4,4.27
1006-0-2011-6,1006,2011,6,0,1163534,22.6,22.9,25.4,3.05
1007-0-2011-6,1007,2011,6,0,1428823,30.2,30.7,34.0,4.09
1008-0-2011-6,1008,2011,6,0,1216023,26.6,27.0,29.9,3.60
1010-0-2011-6,1010,2011,6,0,1422993,29.0,29.5,32.6,3.93
1011-0-2011-6,1011,2011,6,0,1910709,34.5,35.0,38.8,4.67
1013-0-2011-6,1013,2011,6,0,663204,15.2,15.5,17.1,2.06
2002-0-2011-6,2002,2011,6,0,1884784,37.5,38.1,42.1,5.08
2009-0-2011-6,2009,2011,6,0,1300327,29.1,29.6,32.8,3.95
2012-0-2011-6,2012,2011,6,0,1013357,23.0,23.3,25.8,3.11
2014-0-2011-6,2014,2011,6,0,1425601,29.9,30.4,33.6,4.05
0-0-2011-6,0,2011,6,0,1756524,33.3,33.9,37.5,4.51
1001-113-2011-7,1001,2011,7,113,2133128,36.1,36.5,40.2,4.89
1003-113-2011-7,1003,2011,7,113,937380,20.0,20.2,22.3,2.71
1004-113-2011-7,1004,2011,7,113,852317,18.2,18.4,20.3,2.46
1005-113-2011-7,1005,2011,7,113,966821,19.9,20.2,22.2,2.70
1006-113-2011-7,1006,2011,7,113,719652,14.0,14.2,15.6,1.89
1007-113-2011-7,1007,2011,7,113,780607,16.4,16.6,18.3,2.22
1008-113-2011-7,1008,2011,7,113,813854,17.8,18.0,19.9,2.41
1010-113-2011-7,1010,2011,7,113,901418,18.4,18.6,20.6,2.49
1011-113-2011-7,1011,2011,7,113,1195705,21.6,21.8,24.0,2.92
1013-113-2011-7,1013,2011,7,113,419006,9.7,9.8,10.8,1.31
2002-113-2011-7,2002,2011,7,113,1172006,23.4,23.7,26.1,3.17
2009-113-2011-7,2009,2011,7,113,870880,19.5,19.8,21.8,2.64
2012-113-2011-7,2012,2011,7,113,628579,14.3,14.5,16.0,1.94
2014-113-2011-7,2014,2011,7,113,869598,18.3,18.5,20.4,2.47
1001-123-2011-7,1001,2011,7,123,3216524,54.4,55.0,60.7,7.37
1003-123-2011-7,1003,2011,7,123,1158572,24.7,25.0,27.6,3.35
1004-123-2011-7,1004,2011,7,123,1329930,28.4,28.7,31.7,3.85
1005-123-2011-7,1005,2011,7,123,1531319,31.6,31.9,35.2,4.27
1006-123-2011-7,1006,2011,7,123,1066723,20.8,21.0,23.2,2.81
1007-123-2011-7,1007,2011,7,123,1317193,27.7,28.0,30.9,3.75
1008-123-2011-7,1008,2011,7,123,1130969,24.8,25.1,27.6,3.35
1010-123-2011-7,1010,2011,7,123,1434923,29.4,29.7,32.7,3.97
1011-123-2011-7,1011,2011,7,123,1627397,29.3,29.7,32.7,3.97
1013-123-2011-7,1013,2011,7,123,612528,14.1,14.3,15.8,1.91
2002-123-2011-7,2002,2011,7,123,1691410,33.8,34.1,37.7,4.57
2009-123-2011-7,2009,2011,7,123,1240658,27.8,28.1,31.0,3.77
2012-123-2011-7,2012,2011,7,123,890168,20.3,20.5,22.6,2.75
2014-123-2011-7,2014,2011,7,123,1238645,26.0,26.3,29.0,3.52
1001-126-2011-7,1001,2011,7,126,4399373,74.5,75.3,83.0,10.08
1003-126-2011-7,1003,2011,7,126,1224057,26.1,26.4,29.1,3.54
1004-126-2011-7,1004,2011,7,126,1598526,34.2,34.5,38.1,4.62
1005-126-2011-7,1005,2011,7,126,1595775,32.9,33.3,36.7,4.45
1006-126-2011-7,1006,2011,7,126,1344240,26.2,26.5,29.2,3.54
1007-126-2011-7,1007,2011,7,126,1693478,35.7,36.0,39.7,4.83
1008-126-2011-7,1008,2011,7,126,1367855,30.0,30.3,33.4,4.06
1010-126-2011-7,1010,2011,7,126,1579768,32.3,32.7,36.0,4.37
1011-126-2011-7,1011,2011,7,126,2177943,39.3,39.7,43.8,5.31
1013-126-2011-7,1013,2011,7,126,761620,17.6,17.8,19.6,2.38
2002-126-2011-7,2002,2011,7,126,2115432,42.3,42.7,47.1,5.72
2009-126-2011-7,2009,2011,7,126,1438065,32.3,32.6,36.0,4.37
2012-126-2011-7,2012,2011,7,126,1099101,25.1,25.4,28.0,3.39
2014-126-2011-7,2014,2011,7,126,1660743,34.9,35.3,38.9,4.72
1001-133-2011-7,1001,2011,7,133,6587778,111.5,112.7,124.3,15.10
1003-133-2011-7,1003,2011,7,133,1438586,30.7,31.1,34.3,4.16
1004-133-2011-7,1004,2011,7,133,1686225,36.0,36.4,40.2,4.88
1005-133-2011-7,1005,2011,7,133,2235707,46.1,46.6,51.4,6.24
1006-133-2011-7,1006,2011,7,133,1534550,29.9,30.2,33.3,4.04
1007-133-2011-7,1007,2011,7,133,2221410,46.8,47.3,52.1,6.33
1008-133-2011-7,1008,2011,7,133,1761111,38.6,39.0,43.0,5.22
1010-133-2011-7,1010,2011,7,133,2002533,41.0,41.4,45.7,5.55
1011-133-2011-7,1011,2011,7,133,2987640,53.9,54.4,60.0,7.29
1013-133-2011-7,1013,2011,7,133,772770,17.9,18.0,19.9,2.41
2002-133-2011-7,2002,2011,7,133,2948599,58.9,59.5,65.7,7.97
2009-133-2011-7,2009,2011,7,133,2254521,50.6,51.1,56.4,6.85
2012-133-2011-7,2012,2011,7,133,1525943,34.8,35.2,38.8,4.71
2014-133-2011-7,2014,2011,7,133,1954129,41.1,41.5,45.8,5.56
0-113-2011-7,0,2011,7,113,976288,18.6,18.8,20.7,2.51
0-123-2011-7,0,2011,7,123,1312294,25.0,25.2,27.8,3.38
0-126-2011-7,0,2011,7,126,1603736,30.5,30.8,34.0,4.13
0-133-2011-7,0,2011,7,133,1910803,36.3,36.7,40.5,4.92
1001-0-2011-7,1001,2011,7,0,3787878,64.1,64.8,71.5,8.68
1003-0-2011-7,1003,2011,7,0,1197920,25.6,25.9,28.5,3.46
1004-0-2011-7,1004,2011,7,0,1390009,29.7,30.0,33.1,4.02
1005-0-2011-7,1005,2011,7,0,1506598,31.1,31.4,34.6,4.21
1006-0-2011-7,1006,2011,7,0,1168540,22.8,23.0,25.4,3.08
1007-0-2011-7,1007,2011,7,0,1447798,30.5,30.8,34.0,4.12
1008-0-2011-7,1008,2011,7,0,1216550,26.7,26.9,29.7,3.61
1010-0-2011-7,1010,2011,7,0,1421893,29.1,29.4,32.4,3.94
1011-0-2011-7,1011,2011,7,0,1895340,34.2,34.5,38.1,4.62
1013-0-2011-7,1013,2011,7,0,660260,15.3,15.4,17.0,2.06
2002-0-2011-7,2002,2011,7,0,1917558,38.3,38.7,42.7,5.18
2009-0-2011-7,2009,2011,7,0,1355433,30.4,30.7,33.9,4.12
2012-0-2011-7,2012,2011,7,0,1001963,22.9,23.1,25.5,3.09
2014-0-2011-7,2014,2011,7,0,1422051,29.9,30.2,33.3,4.04
0-0-2011-7,0,2011,7,0,1791646,34.1,34.4,38.0,4.61
1001-113-2011-8,1001,2011,8,113,2128349,35.7,36.0,39.7,4.89
1003-113-2011-8,1003,2011,8,113,907414,19.2,19.3,21.3,2.62
1004-113-2011-8,1004,2011,8,113,863647,18.4,18.5,20.4,2.51
1005-113-2011-8,1005,2011,8,113,973877,19.8,20.0,22.0,2.71
1006-113-2011-8,1006,2011,8,113,739109,14.3,14.4,15.9,1.95
1007-113-2011-8,1007,2011,8,113,817492,16.9,17.1,18.8,2.31
1008-113-2011-8,1008,2011,8,113,775767,16.8,17.0,18.7,2.30
1010-113-2011-8,1010,2011,8,113,878769,17.8,18.0,19.8,2.44
1011-113-2011-8,1011,2011,8,113,1098861,19.6,19.7,21.7,2.68
1013-113-2011-8,1013,2011,8,113,406066,9.3,9.4,10.4,1.27
2002-113-2011-8,2002,2011,8,113,1142453,22.6,22.8,25.2,3.10
2009-113-2011-8,2009,2011,8,113,897334,19.9,20.1,22.1,2.72
2012-113-2011-8,2012,2011,8,113,635750,14.4,14.6,16.0,1.97
2014-113-2011-8,2014,2011,8,113,867910,18.1,18.2,20.1,2.47
1001-123-2011-8,1001,2011,8,123,3204965,53.7,54.2,59.7,7.36
1003-123-2011-8,1003,2011,8,123,1133586,23.9,24.1,26.6,3.27
1004-123-2011-8,1004,2011,8,123,1312179,27.9,28.1,31.0,3.82
1005-123-2011-8,1005,2011,8,123,1566958,31.8,32.1,35.4,4.36
1006-123-2011-8,1006,2011,8,123,1064137,20.6,20.7,22.9,2.81
1007-123-2011-8,1007,2011,8,123,1264731,26.2,26.4,29.1,3.58
1008-123-2011-8,1008,2011,8,123,1139212,24.7,24.9,27.5,3.38
1010-123-2011-8,1010,2011,8,123,1394830,28.3,28.6,31.5,3.88
1011-123-2011-8,1011,2011,8,123,1506463,26.8,27.1,29.8,3.67
1013-123-2011-8,1013,2011,8,123,596651,13.7,13.8,15.2,1.87
2002-123-2011-8,2002,2011,8,123,1704517,33.8,34.1,37.5,4.62
2009-123-2011-8,2009,2011,8,123,1310391,29.1,29.3,32.3,3.98
2012-123-2011-8,2012,2011,8,123,873380,19.8,20.0,22.0,2.71
2014-123-2011-8,2014,2011,8,123,1227768,25.6,25.8,28.4,3.50
1001-126-2011-8,1001,2011,8,126,4466761,74.9,75.6,83.2,10.26
1003-126-2011-8,1003,2011,8,126,1260460,26.6,26.8,29.6,3.64
1004-126-2011-8,1004,2011,8,126,1564026,33.2,33.5,36.9,4.55
1005-126-2011-8,1005,2011,8,126,1600792,32.5,32.8,36.1,4.45
1006-126-2011-8,1006,2011,8,126,1318716,25.5,25.7,28.3,3.49
1007-126-2011-8,1007,2011,8,126,1702389,35.2,35.6,39.2,4.82
1008-126-2011-8,1008,2011,8,126,1321189,28.7,28.9,31.9,3.92
1010-126-2011-8,1010,2011,8,126,1491586,30.3,30.6,33.7,4.14
1011-126-2011-8,1011,2011,8,126,1846903,32.9,33.2,36.5,4.50
1013-126-2011-8,1013,2011,8,126,768512,17.6,17.8,19.6,2.41
2002-126-2011-8,2002,2011,8,126,2025265,40.1,40.5,44.6,5.50
2009-126-2011-8,2009,2011,8,126,1480083,32.9,33.1,36.5,4.50
2012-126-2011-8,2012,2011,8,126,1091114,24.8,25.0,27.5,3.39
2014-126-2011-8,2014,2011,8,126,1618227,33.7,34.0,37.4,4.61
1001-133-2011-8,1001,2011,8,133,6504484,109.1,110.1,121.2,14.94
1003-133-2011-8,1003,2011,8,133,1489885,31.5,31.7,35.0,4.30
1004-133-2011-8,1004,2011,8,133,1674912,35.6,35.9,39.6,4.87
1005-133-2011-8,1005,2011,8,133,2191638,44.5,44.9,49.5,6.10
1006-133-2011-8,1006,2011,8,133,1523848,29.4,29.7,32.7,4.03
1007-133-2011-8,1007,2011,8,133,2127122,44.0,44.4,48.9,6.03
1008-133-2011-8,1008,2011,8,133,1782367,38.7,39.0,43.0,5.30
1010-133-2011-8,1010,2011,8,133,1966852,39.9,40.3,44.4,5.47
1011-133-2011-8,1011,2011,8,133,2591453,46.1,46.5,51.3,6.32
1013-133-2011-8,1013,2011,8,133,813404,18.7,18.8,20.7,2.55
2002-133-2011-8,2002,2011,8,133,2961280,58.7,59.2,65.2,8.04
2009-133-2011-8,2009,2011,8,133,2283072,50.7,51.1,56.3,6.94
2012-133-2011-8,2012,2011,8,133,1461117,33.2,33.5,36.9,4.54
2014-133-2011-8,2014,2011,8,133,1969744,41.0,41.4,45.6,5.61
0-113-2011-8,0,2011,8,113,966596,18.2,18.4,20.2,2.49
0-123-2011-8,0,2011,8,123,1274211,24.0,24.2,26.7,3.28
0-126-2011-8,0,2011,8,126,1560354,29.4,29.6,32.6,4.02
0-133-2011-8,0,2011,8,133,1915928,36.1,36.4,40.1,4.94
1001-0-2011-8,1001,2011,8,0,3820522,64.1,64.6,71.2,8.77
1003-0-2011-8,1003,2011,8,0,1209474,25.5,25.8,28.4,3.49
1004-0-2011-8,1004,2011,8,0,1370832,29.1,29.4,32.4,3.99
1005-0-2011-8,1005,2011,8,0,1497544,30.4,30.7,33.8,4.16
1006-0-2011-8,1006,2011,8,0,1185692,22.9,23.1,25.5,3.13
1007-0-2011-8,1007,2011,8,0,1429764,29.6,29.9,32.9,4.05
1008-0-2011-8,1008,2011,8,0,1206131,26.2,26.4,29.1,3.58
1010-0-2011-8,1010,2011,8,0,1385177,28.1,28.4,31.3,3.85
1011-0-2011-8,1011,2011,8,0,1675305,29.8,30.1,33.1,4.08
1013-0-2011-8,1013,2011,8,0,661452,15.2,15.3,16.9,2.07
2002-0-2011-8,2002,2011,8,0,1879668,37.3,37.6,41.4,5.10
2009-0-2011-8,2009,2011,8,0,1406575,31.2,31.5,34.7,4.27
2012-0-2011-8,2012,2011,8,0,992607,22.5,22.7,25.0,3.08
2014-0-2011-8,2014,2011,8,0,1399433,29.1,29.4,32.4,3.99
0-0-2011-8,0,2011,8,0,1771334,33.3,33.6,37.1,4.56
1001-113-2011-9,1001,2011,9,113,2078013,34.4,34.8,38.5,4.78
1003-113-2011-9,1003,2011,9,113,899880,18.7,18.9,20.9,2.60
1004-113-2011-9,1004,2011,9,113,880823,18.6,18.8,20.7,2.57
1005-113-2011-9,1005,2011,9,113,888172,17.7,17.9,19.8,2.46
1006-113-2011-9,1006,2011,9,113,704578,13.5,13.6,15.1,1.87
1007-113-2011-9,1007,2011,9,113,806118,16.4,16.5,18.3,2.27
1008-113-2011-9,1008,2011,9,113,795659,17.1,17.2,19.1,2.36
1010-113-2011-9,1010,2011,9,113,895787,18.0,18.2,20.1,2.50
1011-113-2011-9,1011,2011,9,113,1096889,19.2,19.4,21.5,2.67
1013-113-2011-9,1013,2011,9,113,418016,9.5,9.6,10.6,1.32
2002-113-2011-9,2002,2011,9,113,1127551,22.1,22.4,24.7,3.07
2009-113-2011-9,2009,2011,9,113,907481,19.9,20.1,22.2,2.76
2012-113-2011-9,2012,2011,9,113,624682,14.1,14.2,15.7,1.95
2014-113-2011-9,2014,2011,9,113,857079,17.6,17.8,19.7,2.44
1001-123-2011-9,1001,2011,9,123,3136429,52.0,52.6,58.1,7.22
