kraj-druh-R-M,id_kraj,rok,mesic,druh,cena,fdbi70,fdbi85,fdbi100,pdb
2009-133-2009-2,2009,2009,2,133,2324435.673,64.3,65.4,68.4,7.72
2012-133-2009-2,2012,2009,2,133,1870131.269,52.9,53.8,56.3,6.35
2014-133-2009-2,2014,2009,2,133,2516750,66.5,67.7,70.8,7.99
0-113-2009-2,0,2009,2,113,1266060,30.3,30.9,32.3,3.64
0-123-2009-2,0,2009,2,123,1597639,38.3,39.0,40.7,4.59
0-126-2009-2,0,2009,2,126,1956262,46.9,47.7,49.9,5.63
0-133-2009-2,0,2009,2,133,2690655,64.5,65.6,68.6,7.74
1001-0-2009-2,1001,2009,2,0,4362961.646,95.6,97.3,101.7,11.48
1003-0-2009-2,1003,2009,2,0,1592929.278,41.7,42.5,44.4,5.01
1004-0-2009-2,1004,2009,2,0,1667419.724,44.9,45.7,47.8,5.39
1005-0-2009-2,1005,2009,2,0,1780742.358,47.9,48.7,50.9,5.75
1006-0-2009-2,1006,2009,2,0,1416815.144,36.3,36.9,38.6,4.36
1007-0-2009-2,1007,2009,2,0,1595241.14,44.8,45.6,47.6,5.38
1008-0-2009-2,1008,2009,2,0,1375666.859,37.4,38.0,39.7,4.48
1010-0-2009-2,1010,2009,2,0,1966657.814,50.0,50.9,53.2,6.00
1011-0-2009-2,1011,2009,2,0,2024456.857,47.2,48.0,50.2,5.67
1013-0-2009-2,1013,2009,2,0,865794.8254,23.8,24.3,25.4,2.86
2002-0-2009-2,2002,2009,2,0,2194609.264,58.7,59.7,62.4,7.05
2009-0-2009-2,2009,2009,2,0,1628489.736,45.0,45.8,47.9,5.40
2012-0-2009-2,2012,2009,2,0,1283136.515,36.3,36.9,38.6,4.36
2014-0-2009-2,2014,2009,2,0,1605158.92,42.4,43.2,45.1,5.09
0-0-2009-2,0,2009,2,0,2123373,50.9,51.8,54.1,6.11
1001-113-2009-3,1001,2009,3,113,2491597.127,54.1,55.0,57.7,6.47
1003-113-2009-3,1003,2009,3,113,1280545.82,33.5,34.0,35.7,4.00
1004-113-2009-3,1004,2009,3,113,1128407.294,30.3,30.8,32.3,3.62
1005-113-2009-3,1005,2009,3,113,1175240.782,31.5,32.0,33.5,3.76
1006-113-2009-3,1006,2009,3,113,891523,22.8,23.1,24.3,2.72
1007-113-2009-3,1007,2009,3,113,914898.8177,25.6,26.0,27.3,3.06
1008-113-2009-3,1008,2009,3,113,950508.315,25.7,26.1,27.4,3.07
1010-113-2009-3,1010,2009,3,113,1306080,33.3,33.8,35.5,3.97
1011-113-2009-3,1011,2009,3,113,1436224.174,33.3,33.8,35.5,3.98
1013-113-2009-3,1013,2009,3,113,592251.6971,16.3,16.6,17.4,1.95
2002-113-2009-3,2002,2009,3,113,1340710.791,35.7,36.2,38.0,4.26
2009-113-2009-3,2009,2009,3,113,1127419.603,31.2,31.6,33.2,3.72
2012-113-2009-3,2012,2009,3,113,813551.286,23.0,23.4,24.5,2.74
2014-113-2009-3,2014,2009,3,113,1078701.713,28.4,28.8,30.2,3.39
1001-123-2009-3,1001,2009,3,123,3548786.81,77.1,78.3,82.2,9.21
1003-123-2009-3,1003,2009,3,123,1418845.75,37.1,37.7,39.6,4.43
1004-123-2009-3,1004,2009,3,123,1543481.191,41.5,42.2,44.2,4.96
1005-123-2009-3,1005,2009,3,123,1701041.706,45.6,46.3,48.5,5.44
1006-123-2009-3,1006,2009,3,123,1257749.148,32.2,32.7,34.3,3.84
1007-123-2009-3,1007,2009,3,123,1353219.728,37.9,38.5,40.4,4.53
1008-123-2009-3,1008,2009,3,123,1395798.636,37.8,38.4,40.3,4.52
1010-123-2009-3,1010,2009,3,123,1916667,48.8,49.6,52.0,5.83
1011-123-2009-3,1011,2009,3,123,1757138.308,40.7,41.4,43.4,4.87
1013-123-2009-3,1013,2009,3,123,753001.6831,20.8,21.1,22.1,2.48
2002-123-2009-3,2002,2009,3,123,1857976.329,49.4,50.2,52.7,5.91
2009-123-2009-3,2009,2009,3,123,1455203.479,40.2,40.8,42.9,4.81
2012-123-2009-3,2012,2009,3,123,1121939.31,31.7,32.2,33.8,3.79
2014-123-2009-3,2014,2009,3,123,1495287.166,39.3,39.9,41.9,4.70
1001-126-2009-3,1001,2009,3,126,4757307.824,103.4,105.0,110.2,12.35
1003-126-2009-3,1003,2009,3,126,1724183.381,45.1,45.8,48.1,5.39
1004-126-2009-3,1004,2009,3,126,1801206.854,48.4,49.2,51.6,5.79
1005-126-2009-3,1005,2009,3,126,1886848.969,50.5,51.3,53.9,6.04
1006-126-2009-3,1006,2009,3,126,1587711.159,40.6,41.2,43.3,4.85
1007-126-2009-3,1007,2009,3,126,1816311.594,50.9,51.7,54.2,6.08
1008-126-2009-3,1008,2009,3,126,1432630.152,38.8,39.4,41.4,4.64
1010-126-2009-3,1010,2009,3,126,2317120,59.0,59.9,62.9,7.05
1011-126-2009-3,1011,2009,3,126,2328796.216,54.0,54.8,57.5,6.45
1013-126-2009-3,1013,2009,3,126,943994.7535,26.0,26.4,27.7,3.11
2002-126-2009-3,2002,2009,3,126,2429554.239,64.6,65.6,68.9,7.72
2009-126-2009-3,2009,2009,3,126,1792119.881,49.5,50.3,52.8,5.92
2012-126-2009-3,2012,2009,3,126,1364109.037,38.6,39.2,41.1,4.61
2014-126-2009-3,2014,2009,3,126,1701191.671,44.7,45.4,47.7,5.34
1001-133-2009-3,1001,2009,3,133,6896120.285,149.8,152.1,159.7,17.91
