kraj_index,byt_index,datum,cena,pdb,fdbi70,fdbi85,fdbi100
5,2,2009-03-01,1816311,6.08,0.51,0.52,0.54
6,2,2009-03-01,1432630,4.64,0.39,0.39,0.41
7,2,2009-03-01,2317120,7.05,0.59,0.60,0.63
8,2,2009-03-01,2328796,6.45,0.54,0.55,0.57
9,2,2009-03-01,943994,3.11,0.26,0.26,0.28
10,2,2009-03-01,2429554,7.72,0.65,0.66,0.69
11,2,2009-03-01,1792119,5.92,0.49,0.50,0.53
12,2,2009-03-01,1364109,4.61,0.39,0.39,0.41
13,2,2009-03-01,1701191,5.34,0.45,0.45,0.48
0,3,2009-03-01,6896120,17.91,1.50,1.52,1.60
1,3,2009-03-01,1879250,5.87,0.49,0.50,0.52
2,3,2009-03-01,2934826,9.43,0.79,0.80,0.84
3,3,2009-03-01,2734176,8.75,0.73,0.74,0.78
5,3,2009-03-01,2297154,7.69,0.64,0.65,0.69
6,3,2009-03-01,1873717,6.06,0.51,0.52,0.54
7,3,2009-03-01,2067690,6.29,0.53,0.54,0.56
8,3,2009-03-01,3223893,8.93,0.75,0.76,0.80
9,3,2009-03-01,1265652,4.17,0.35,0.35,0.37
10,3,2009-03-01,3380465,10.75,0.90,0.91,0.96
11,3,2009-03-01,2244318,7.41,0.62,0.63,0.66
12,3,2009-03-01,1761228,5.95,0.50,0.51,0.53
13,3,2009-03-01,2430357,7.63,0.64,0.65,0.68
14,0,2009-03-01,1284323,3.67,0.31,0.31,0.33
14,1,2009-03-01,1627222,4.65,0.39,0.40,0.41
14,2,2009-03-01,1942515,5.55,0.47,0.47,0.49
14,3,2009-03-01,2729851,7.80,0.65,0.66,0.70
0,4,2009-03-01,4103010,10.65,0.89,0.91,0.95
1,4,2009-03-01,1603575,5.01,0.42,0.43,0.45
2,4,2009-03-01,1669540,5.37,0.45,0.46,0.48
3,4,2009-03-01,1744709,5.58,0.47,0.47,0.50
4,4,2009-03-01,1402104,4.28,0.36,0.36,0.38
5,4,2009-03-01,1530587,5.12,0.43,0.43,0.46
6,4,2009-03-01,1377014,4.46,0.37,0.38,0.40
7,4,2009-03-01,1964813,5.98,0.50,0.51,0.53
8,4,2009-03-01,2069971,5.73,0.48,0.49,0.51
9,4,2009-03-01,866424,2.85,0.24,0.24,0.26
10,4,2009-03-01,2168775,6.89,0.58,0.59,0.61
11,4,2009-03-01,1630839,5.39,0.45,0.46,0.48
12,4,2009-03-01,1239134,4.18,0.35,0.36,0.37
13,4,2009-03-01,1592899,5.00,0.42,0.42,0.45
14,4,2009-03-01,2117452,6.05,0.51,0.51,0.54
0,0,2009-04-01,2464131,6.32,0.53,0.54,0.56
1,0,2009-04-01,1230504,3.82,0.32,0.33,0.34
2,0,2009-04-01,1117701,3.57,0.30,0.30,0.32
3,0,2009-04-01,1119201,3.55,0.30,0.30,0.32
4,0,2009-04-01,931570,2.83,0.24,0.24,0.25
5,0,2009-04-01,917105,3.05,0.25,0.26,0.27
6,0,2009-04-01,981268,3.15,0.26,0.27,0.28
7,0,2009-04-01,1283444,3.89,0.33,0.33,0.35
8,0,2009-04-01,1413986,3.88,0.32,0.33,0.35
9,0,2009-04-01,558036,1.83,0.15,0.15,0.16
10,0,2009-04-01,1326272,4.17,0.35,0.35,0.37
11,0,2009-04-01,1163597,3.82,0.32,0.33,0.34
